type,threads,filter,times,mean_time_ms,std_time_ms,min_time_ms,max_time_ms,median_time_ms,iterations
sequential,1,edge,"[3309.5109462738037, 198.5189914703369, 190.81401824951172, 189.95285034179688, 190.5820369720459, 188.5061264038086, 188.28582763671875, 188.84778022766113, 188.80081176757812, 189.38016891479492, 189.03017044067383, 205.491304397583, 283.24413299560547, 194.7619915008545, 196.1829662322998, 196.49791717529297, 194.63825225830078, 197.79682159423828, 207.62372016906738, 202.61240005493164, 201.16615295410156, 196.7611312866211, 192.82293319702148, 194.8070526123047, 194.60511207580566, 192.7340030670166, 192.34108924865723, 194.2160129547119, 193.61090660095215, 194.81205940246582, 193.4370994567871, 194.82660293579102, 214.17498588562012, 193.93301010131836, 196.9621181488037, 341.4418697357178, 248.71134757995605, 287.0042324066162, 271.1918354034424, 207.16285705566406, 211.10200881958008, 207.92818069458008, 195.91498374938965, 189.4831657409668, 193.63927841186523, 194.3228244781494, 195.7700252532959, 188.7359619140625, 195.14966011047363, 196.5498924255371, 193.93610954284668, 195.6629753112793, 196.0580348968506, 197.95799255371094, 195.41501998901367, 196.12812995910645, 194.4880485534668, 193.54629516601562, 194.76604461669922, 193.95828247070312, 194.36907768249512, 194.2918300628662, 194.40007209777832, 233.11805725097656, 198.2729434967041, 193.88890266418457, 193.681001663208, 193.14193725585938, 192.8577423095703, 194.0910816192627, 206.30693435668945, 193.8769817352295, 194.20695304870605, 207.0481777191162, 210.65497398376465, 197.05772399902344, 202.12817192077637, 199.21207427978516, 194.2000389099121, 196.09689712524414, 192.9452419281006, 195.2211856842041, 193.65310668945312, 198.7137794494629, 193.88580322265625, 194.76795196533203, 196.7449188232422, 192.7790641784668, 190.0959014892578, 193.25590133666992, 192.47698783874512, 193.20201873779297, 192.96002388000488, 193.85600090026855, 193.1140422821045, 192.155122756958, 195.16897201538086, 193.14980506896973, 193.22609901428223, 195.33514976501465]",231.67923212051392,310.09574777396284,188.28582763671875,3309.5109462738037,194.62168216705322,100
parallel,2,edge,"[200.87814331054688, 197.30210304260254, 200.14524459838867, 215.18898010253906, 192.56019592285156, 194.73600387573242, 194.19479370117188, 196.31695747375488, 192.97003746032715, 191.99609756469727, 192.82793998718262, 193.33791732788086, 192.08288192749023, 192.49486923217773, 192.32678413391113, 191.7409896850586, 195.87087631225586, 192.90399551391602, 193.46976280212402, 191.6351318359375, 191.7109489440918, 191.8318271636963, 195.9681510925293, 213.1040096282959, 210.90292930603027, 196.50697708129883, 193.9537525177002, 194.24796104431152, 194.5662498474121, 194.16213035583496, 236.47809028625488, 213.3469581604004, 213.87815475463867, 203.25875282287598, 192.92616844177246, 192.7189826965332, 194.3209171295166, 192.02899932861328, 192.8539276123047, 194.58794593811035, 192.612886428833, 193.73512268066406, 203.83405685424805, 235.7809543609619, 208.48369598388672, 192.39187240600586, 194.87524032592773, 203.0351161956787, 198.52423667907715, 197.75080680847168, 199.6321678161621, 202.9881477355957, 200.40488243103027, 199.36513900756836, 197.07703590393066, 199.57399368286133, 199.45597648620605, 199.32007789611816, 200.00815391540527, 197.8609561920166, 197.87001609802246, 198.775053024292, 200.6828784942627, 217.53811836242676, 271.345853805542, 241.52827262878418, 201.0960578918457, 196.3181495666504, 193.7580108642578, 213.99998664855957, 193.5708522796631, 197.8931427001953, 193.05801391601562, 194.76604461669922, 192.27004051208496, 192.15106964111328, 193.70770454406738, 191.85900688171387, 197.72005081176758, 193.27092170715332, 192.35610961914062, 204.51998710632324, 194.6251392364502, 193.72200965881348, 197.30901718139648, 202.55780220031738, 198.1351375579834, 197.6149082183838, 195.84202766418457, 191.1616325378418, 195.1429843902588, 196.84505462646484, 196.3787078857422, 203.56988906860352, 195.52993774414062, 220.8850383758545, 200.93011856079102, 205.7638168334961, 192.53778457641602, 192.2149658203125]",199.6586537361145,11.775407991114122,191.1616325378418,271.345853805542,196.1425542831421,100
parallel,4,edge,"[218.10078620910645, 205.40904998779297, 192.37375259399414, 191.36714935302734, 191.47634506225586, 195.98817825317383, 192.13509559631348, 191.61510467529297, 191.36595726013184, 198.46343994140625, 207.68117904663086, 195.84202766418457, 209.62905883789062, 195.67418098449707, 191.10107421875, 191.42985343933105, 191.42818450927734, 191.97702407836914, 193.2210922241211, 190.93990325927734, 198.3637809753418, 191.3290023803711, 191.94865226745605, 204.32615280151367, 212.25404739379883, 192.68012046813965, 197.0810890197754, 192.1987533569336, 191.91908836364746, 191.5881633758545, 191.21527671813965, 192.08216667175293, 197.35217094421387, 191.60795211791992, 191.02001190185547, 193.85385513305664, 193.53699684143066, 195.04594802856445, 194.4289207458496, 192.03996658325195, 191.39981269836426, 194.17309761047363, 192.43192672729492, 191.64800643920898, 191.61701202392578, 190.6421184539795, 191.04719161987305, 191.2541389465332, 192.29888916015625, 192.78907775878906, 191.27583503723145, 194.4890022277832, 191.0388469696045, 192.9490566253662, 210.41202545166016, 191.73789024353027, 193.42517852783203, 199.3868350982666, 198.0118751525879, 194.96703147888184, 193.51696968078613, 191.48492813110352, 191.32685661315918, 193.69077682495117, 190.96016883850098, 190.3841495513916, 191.61105155944824, 191.12205505371094, 191.31779670715332, 190.92321395874023, 191.53785705566406, 195.3752040863037, 193.83978843688965, 190.8857822418213, 193.3140754699707, 191.47491455078125, 196.821928024292, 191.90406799316406, 191.7722225189209, 191.51997566223145, 190.7939910888672, 194.60487365722656, 195.1620578765869, 190.9172534942627, 192.89088249206543, 191.3290023803711, 196.08497619628906, 197.16715812683105, 196.98381423950195, 195.50824165344238, 197.07608222961426, 197.23010063171387, 197.24011421203613, 196.9168186187744, 198.12703132629395, 196.0282325744629, 199.48124885559082, 222.42116928100586, 202.85797119140625, 199.9351978302002]",194.93625402450562,5.71187052467502,190.3841495513916,222.42116928100586,192.73459911346436,100
parallel,8,edge,"[197.02768325805664, 195.6639289855957, 195.8000659942627, 196.33913040161133, 195.96600532531738, 197.4201202392578, 195.72877883911133, 195.8749294281006, 196.99501991271973, 195.95980644226074, 196.25020027160645, 200.77013969421387, 199.67913627624512, 195.49012184143066, 195.54805755615234, 201.76100730895996, 224.72405433654785, 215.01612663269043, 227.33497619628906, 240.14878273010254, 211.03596687316895, 200.27923583984375, 221.94886207580566, 205.20496368408203, 198.2588768005371, 198.48084449768066, 204.81109619140625, 200.92272758483887, 199.1119384765625, 198.08411598205566, 198.75693321228027, 199.8741626739502, 194.19288635253906, 193.8629150390625, 195.20998001098633, 190.93704223632812, 191.4668083190918, 196.7008113861084, 197.1890926361084, 199.42212104797363, 191.6792392730713, 191.68615341186523, 192.76094436645508, 191.06674194335938, 192.60001182556152, 194.27084922790527, 205.85298538208008, 201.246976852417, 198.90499114990234, 217.3912525177002, 194.66328620910645, 191.82801246643066, 191.4076805114746, 204.61583137512207, 198.65083694458008, 191.7550563812256, 191.9229030609131, 191.03503227233887, 197.93200492858887, 199.89395141601562, 192.40117073059082, 209.73896980285645, 212.05663681030273, 199.79405403137207, 193.97807121276855, 192.96979904174805, 207.14974403381348, 209.3501091003418, 197.59488105773926, 198.00901412963867, 194.78893280029297, 191.93792343139648, 190.86074829101562, 193.08733940124512, 196.90489768981934, 192.626953125, 192.95597076416016, 210.48593521118164, 192.26789474487305, 190.05918502807617, 191.46108627319336, 204.8499584197998, 215.3778076171875, 212.8598690032959, 197.54600524902344, 193.450927734375, 200.23488998413086, 197.55077362060547, 283.5981845855713, 210.36505699157715, 192.10290908813477, 192.90804862976074, 193.59302520751953, 191.77913665771484, 195.97101211547852, 196.1827278137207, 207.59201049804688, 233.6430549621582, 196.0310935974121, 196.43592834472656]",200.4896593093872,12.518496735044513,190.05918502807617,283.5981845855713,196.94995880126953,100
parallel,16,edge,"[192.6710605621338, 190.78397750854492, 190.7482147216797, 191.00284576416016, 197.052001953125, 207.32522010803223, 207.22413063049316, 201.09820365905762, 199.24092292785645, 193.45712661743164, 192.08598136901855, 191.45488739013672, 190.77825546264648, 198.24910163879395, 192.30103492736816, 195.06096839904785, 193.74990463256836, 196.20203971862793, 191.22028350830078, 192.9011344909668, 191.70594215393066, 194.69428062438965, 196.1531639099121, 190.74201583862305, 190.69576263427734, 191.01810455322266, 191.05792045593262, 192.09790229797363, 192.09814071655273, 216.81499481201172, 194.0290927886963, 190.89889526367188, 195.06502151489258, 192.70086288452148, 203.92704010009766, 194.0751075744629, 191.02096557617188, 192.81983375549316, 197.2029209136963, 192.15703010559082, 191.09082221984863, 190.1838779449463, 190.82403182983398, 196.88177108764648, 314.8977756500244, 283.4489345550537, 227.80299186706543, 215.43502807617188, 1817.0721530914307, 944.15283203125, 810.3649616241455, 475.924015045166, 586.6661071777344, 300.7779121398926, 280.17115592956543, 390.092134475708, 365.74721336364746, 284.49010848999023, 316.7850971221924, 254.30703163146973, 233.05797576904297, 296.3378429412842, 283.1840515136719, 235.05282402038574, 222.642183303833, 221.1761474609375, 224.70784187316895, 272.15099334716797, 257.5509548187256, 260.4999542236328, 267.8499221801758, 270.33281326293945, 266.54696464538574, 271.15488052368164, 269.5457935333252, 270.43700218200684, 306.7169189453125, 344.3119525909424, 333.74691009521484, 329.7760486602783, 305.38320541381836, 295.133113861084, 307.7850341796875, 306.8861961364746, 305.4022789001465, 302.8290271759033, 311.38110160827637, 310.8658790588379, 311.97214126586914, 319.7200298309326, 318.41206550598145, 330.81769943237305, 319.993257522583, 321.6381072998047, 332.705020904541, 324.97477531433105, 317.2001838684082, 319.7770118713379, 324.35107231140137, 330.34276962280273]",281.870481967926,190.336896381182,190.1838779449463,1817.0721530914307,234.05539989471436,100
