type,threads,filter,times,mean_time_ms,std_time_ms,min_time_ms,max_time_ms,median_time_ms,iterations
sequential,1,blur,"[195.78981399536133, 192.02899932861328, 190.1540756225586, 192.73090362548828, 193.85075569152832, 193.99189949035645, 191.5750503540039, 188.8449192047119, 189.37015533447266, 190.28496742248535, 191.8787956237793, 189.67294692993164, 188.3101463317871, 213.9260768890381, 191.10107421875, 197.1757411956787, 190.49811363220215, 188.4768009185791, 188.47990036010742, 199.32198524475098, 196.1231231689453, 191.56980514526367, 189.55111503601074, 200.4241943359375, 195.21307945251465, 192.55518913269043, 189.81289863586426, 190.10472297668457, 208.98795127868652, 194.10395622253418, 189.1016960144043, 188.81797790527344, 190.40513038635254, 190.77420234680176, 189.86916542053223, 189.19992446899414, 188.2922649383545, 189.74995613098145, 188.11607360839844, 188.35687637329102, 189.05091285705566, 188.4019374847412, 188.76004219055176, 191.94483757019043, 188.15279006958008, 188.51804733276367, 188.615083694458, 188.8136863708496, 189.33510780334473, 187.53886222839355, 190.25397300720215, 196.20084762573242, 233.47711563110352, 197.44515419006348, 211.18497848510742, 236.27805709838867, 208.05001258850098, 209.72180366516113, 211.0729217529297, 199.70703125, 194.97084617614746, 196.29812240600586, 205.43813705444336, 196.28286361694336, 194.52309608459473, 194.94986534118652, 193.20392608642578, 194.45300102233887, 194.1068172454834, 193.23396682739258, 195.07288932800293, 201.0171413421631, 197.06225395202637, 198.44698905944824, 247.7278709411621, 197.983980178833, 200.28090476989746, 197.42584228515625, 193.62187385559082, 194.2429542541504, 199.09024238586426, 197.87311553955078, 200.80924034118652, 211.4100456237793, 196.15507125854492, 201.2307643890381, 199.31912422180176, 200.8507251739502, 196.55990600585938, 197.2637176513672, 196.62022590637207, 195.60503959655762, 194.53191757202148, 200.4098892211914, 196.79808616638184, 242.25091934204102, 200.639009475708, 209.6099853515625, 196.67768478393555, 193.88914108276367]",196.89052820205688,10.725547331504623,187.53886222839355,247.7278709411621,194.4880485534668,100
parallel,2,blur,"[203.80306243896484, 203.34386825561523, 213.83905410766602, 207.9751491546631, 209.08188819885254, 201.88212394714355, 198.40097427368164, 199.6622085571289, 200.2089023590088, 200.38914680480957, 206.74490928649902, 216.141939163208, 201.4939785003662, 200.3021240234375, 249.71508979797363, 230.20291328430176, 232.07616806030273, 229.5701503753662, 224.74431991577148, 226.37629508972168, 209.3813419342041, 198.1661319732666, 196.65813446044922, 215.37470817565918, 198.1680393218994, 215.12770652770996, 214.20693397521973, 196.63691520690918, 196.81525230407715, 197.79729843139648, 198.03285598754883, 197.12305068969727, 199.71203804016113, 201.60627365112305, 200.7896900177002, 251.01304054260254, 218.86467933654785, 200.4537582397461, 199.53298568725586, 199.55801963806152, 199.68008995056152, 200.47307014465332, 198.00877571105957, 210.56628227233887, 199.87010955810547, 198.17209243774414, 200.8659839630127, 201.10797882080078, 199.39517974853516, 198.55570793151855, 201.9200325012207, 200.09803771972656, 200.56486129760742, 203.39393615722656, 199.38087463378906, 202.93092727661133, 199.83315467834473, 227.08606719970703, 201.8880844116211, 197.94487953186035, 202.46100425720215, 200.83189010620117, 197.42989540100098, 216.49718284606934, 206.5749168395996, 202.83889770507812, 200.88696479797363, 240.7360076904297, 205.75404167175293, 200.67787170410156, 204.82802391052246, 206.8789005279541, 203.46784591674805, 202.33702659606934, 202.15082168579102, 204.12111282348633, 365.88168144226074, 284.1050624847412, 204.64706420898438, 241.7581081390381, 203.7069797515869, 203.71198654174805, 202.25119590759277, 201.59387588500977, 200.97780227661133, 200.38414001464844, 201.04217529296875, 200.77013969421387, 202.12411880493164, 200.8650302886963, 199.8579502105713, 201.08890533447266, 201.5230655670166, 202.0862102508545, 251.21617317199707, 206.72273635864258, 203.03606986999512, 206.7890167236328, 211.2557888031006, 211.85898780822754]",209.10435914993286,21.256860518650353,196.63691520690918,365.88168144226074,202.0031213760376,100
parallel,4,blur,"[207.86094665527344, 204.9107551574707, 202.7299404144287, 201.1270523071289, 212.94307708740234, 210.44564247131348, 199.56088066101074, 196.4561939239502, 208.99200439453125, 200.3471851348877, 201.0178565979004, 196.33007049560547, 196.3341236114502, 195.59311866760254, 195.18280029296875, 202.09598541259766, 199.97501373291016, 201.89690589904785, 198.7321376800537, 196.41685485839844, 192.30985641479492, 191.24507904052734, 191.56479835510254, 192.0931339263916, 195.1119899749756, 218.37902069091797, 197.6008415222168, 197.10898399353027, 193.15481185913086, 194.3361759185791, 194.08202171325684, 195.52278518676758, 193.97282600402832, 192.34514236450195, 192.0468807220459, 194.0469741821289, 192.83103942871094, 192.41595268249512, 193.98212432861328, 194.25106048583984, 192.2140121459961, 191.43104553222656, 191.64586067199707, 204.61320877075195, 194.17190551757812, 195.1737403869629, 191.07699394226074, 192.5489902496338, 197.42274284362793, 192.734956741333, 192.1701431274414, 193.77803802490234, 190.81497192382812, 255.00202178955078, 196.35581970214844, 194.52404975891113, 222.72014617919922, 191.96701049804688, 190.69814682006836, 191.3161277770996, 190.02771377563477, 191.12205505371094, 195.30105590820312, 191.94602966308594, 198.54497909545898, 191.07699394226074, 192.72780418395996, 194.70620155334473, 191.55097007751465, 193.73607635498047, 194.75364685058594, 194.810152053833, 191.88189506530762, 193.7999725341797, 190.5539035797119, 190.40632247924805, 191.8931007385254, 192.21019744873047, 190.7641887664795, 198.55213165283203, 216.82500839233398, 251.35421752929688, 192.15106964111328, 193.32504272460938, 197.2968578338623, 195.1119899749756, 193.0532455444336, 196.03991508483887, 193.67194175720215, 193.7427520751953, 193.93491744995117, 193.8939094543457, 194.78511810302734, 193.34816932678223, 191.2519931793213, 191.89023971557617, 193.4947967529297, 193.2809352874756, 191.98012351989746, 192.1219825744629]",197.02649593353271,10.045992686885727,190.02771377563477,255.00202178955078,193.9774751663208,100
parallel,8,blur,"[193.79091262817383, 197.0360279083252, 194.20695304870605, 197.25799560546875, 194.3187713623047, 198.19998741149902, 233.1068515777588, 253.4949779510498, 250.3671646118164, 202.8651237487793, 207.27777481079102, 204.0691375732422, 206.58087730407715, 205.62410354614258, 206.9072723388672, 206.95090293884277, 202.6228904724121, 198.75574111938477, 193.3431625366211, 211.5471363067627, 194.1680908203125, 193.26210021972656, 193.56417655944824, 193.25494766235352, 220.0930118560791, 228.2850742340088, 193.7122344970703, 193.21513175964355, 193.5410499572754, 193.27688217163086, 192.77000427246094, 193.22705268859863, 196.7031955718994, 216.8598175048828, 194.01860237121582, 192.7790641784668, 193.5558319091797, 193.71700286865234, 193.4947967529297, 193.41397285461426, 193.49026679992676, 194.0479278564453, 193.56584548950195, 193.94683837890625, 192.83509254455566, 193.70007514953613, 194.7939395904541, 194.69785690307617, 193.59588623046875, 195.01686096191406, 196.46501541137695, 198.8389492034912, 196.57015800476074, 198.06909561157227, 198.12417030334473, 196.89416885375977, 195.8463191986084, 202.09789276123047, 202.32081413269043, 200.21796226501465, 200.75273513793945, 218.83106231689453, 200.10018348693848, 198.84061813354492, 196.01798057556152, 196.49696350097656, 197.3860263824463, 203.6740779876709, 200.97589492797852, 197.37696647644043, 199.0511417388916, 197.04866409301758, 195.3258514404297, 194.06890869140625, 193.17984580993652, 195.6479549407959, 198.06218147277832, 204.4048309326172, 197.1447467803955, 197.38292694091797, 195.86682319641113, 199.38898086547852, 198.61602783203125, 203.39012145996094, 200.46401023864746, 198.92120361328125, 200.03509521484375, 201.14898681640625, 220.59273719787598, 193.85194778442383, 199.56231117248535, 260.0119113922119, 208.34994316101074, 197.6461410522461, 197.95918464660645, 197.6912021636963, 199.09095764160156, 200.5002498626709, 198.36997985839844, 194.7479248046875]",200.88346242904663,11.999778057645566,192.77000427246094,260.0119113922119,197.38447666168213,100
parallel,16,blur,"[196.85792922973633, 210.676908493042, 196.76589965820312, 194.4749355316162, 197.1437931060791, 199.113130569458, 197.85594940185547, 200.4690170288086, 199.94807243347168, 197.4163055419922, 196.4893341064453, 226.58514976501465, 220.71409225463867, 217.71788597106934, 228.3029556274414, 201.64990425109863, 197.2658634185791, 198.76384735107422, 197.2191333770752, 196.7780590057373, 242.17605590820312, 220.66903114318848, 196.73609733581543, 197.3400115966797, 196.75803184509277, 196.57397270202637, 192.79789924621582, 198.83084297180176, 196.86198234558105, 197.99304008483887, 197.40605354309082, 199.53107833862305, 195.56713104248047, 195.35422325134277, 197.06392288208008, 197.99089431762695, 198.08316230773926, 304.07023429870605, 223.01888465881348, 222.6097583770752, 212.83578872680664, 223.26898574829102, 222.20206260681152, 218.44911575317383, 210.03413200378418, 403.48196029663086, 437.2429847717285, 214.46967124938965, 222.53680229187012, 207.23581314086914, 205.64508438110352, 206.04276657104492, 204.38694953918457, 205.74617385864258, 200.3190517425537, 200.1962661743164, 201.50399208068848, 201.89523696899414, 199.13506507873535, 199.0339756011963, 201.87091827392578, 197.93987274169922, 202.38995552062988, 198.4879970550537, 198.80390167236328, 196.93899154663086, 196.95496559143066, 197.24607467651367, 198.0910301208496, 197.74794578552246, 197.83997535705566, 201.8260955810547, 199.46694374084473, 198.35186004638672, 201.06172561645508, 196.4271068572998, 199.85318183898926, 198.26602935791016, 197.4489688873291, 200.32787322998047, 197.99399375915527, 197.73197174072266, 196.7642307281494, 202.60119438171387, 199.24616813659668, 223.69623184204102, 228.5909652709961, 198.05908203125, 202.6681900024414, 198.991060256958, 197.19886779785156, 197.9079246520996, 206.28809928894043, 202.25095748901367, 235.78715324401855, 212.9800319671631, 202.23188400268555, 196.43592834472656, 199.7668743133545, 199.4459629058838]",209.0928053855896,33.42387407073257,192.79789924621582,437.2429847717285,199.34606552124023,100
