type,threads,filter,times,mean_time_ms,std_time_ms,min_time_ms,max_time_ms,median_time_ms,iterations
sequential,1,denoise,"[201.3680934906006, 199.03802871704102, 199.3260383605957, 200.8650302886963, 196.26092910766602, 197.1728801727295, 195.04594802856445, 198.84300231933594, 194.75364685058594, 196.32816314697266, 194.7348117828369, 196.02608680725098, 197.73006439208984, 218.74308586120605, 199.33605194091797, 198.8990306854248, 197.54385948181152, 194.80490684509277, 195.6939697265625, 196.54512405395508, 197.77178764343262, 258.3661079406738, 198.62008094787598, 198.27008247375488, 193.91202926635742, 196.93970680236816, 206.6202163696289, 204.01930809020996, 198.11105728149414, 195.9857940673828, 197.90887832641602, 196.32387161254883, 195.2230930328369, 195.4808235168457, 196.9590187072754, 197.65806198120117, 195.35088539123535, 194.9319839477539, 195.05786895751953, 195.97697257995605, 194.533109664917, 194.7169303894043, 194.20409202575684, 193.59993934631348, 196.08712196350098, 206.82597160339355, 197.31473922729492, 197.22986221313477, 210.57891845703125, 194.89216804504395, 199.9039649963379, 197.06392288208008, 194.53024864196777, 194.08822059631348, 196.58279418945312, 193.72010231018066, 198.22216033935547, 195.7108974456787, 196.84910774230957, 195.451021194458, 195.2378749847412, 197.87001609802246, 229.2931079864502, 195.6028938293457, 194.70620155334473, 194.6110725402832, 195.85299491882324, 195.2650547027588, 194.86618041992188, 197.6149082183838, 195.29175758361816, 230.73983192443848, 204.1008472442627, 291.7671203613281, 257.74383544921875, 198.53591918945312, 197.1430778503418, 196.60186767578125, 196.22302055358887, 218.31798553466797, 195.95885276794434, 193.8941478729248, 193.94898414611816, 193.66002082824707, 195.23096084594727, 195.0840950012207, 200.87027549743652, 517.009973526001, 210.19911766052246, 197.93319702148438, 195.3568458557129, 202.50177383422852, 205.28411865234375, 197.23224639892578, 194.57674026489258, 199.4638442993164, 216.5379524230957, 214.28680419921875, 240.41414260864258, 198.21786880493164]",204.5569920539856,34.61864135180204,193.59993934631348,517.009973526001,196.94936275482178,100
parallel,2,denoise,"[206.13670349121094, 200.89316368103027, 199.387788772583, 199.42688941955566, 198.29416275024414, 205.18183708190918, 202.9891014099121, 199.8457908630371, 196.6249942779541, 198.26602935791016, 231.72998428344727, 201.85494422912598, 199.70107078552246, 199.34487342834473, 199.16486740112305, 200.6092071533203, 197.80373573303223, 195.81890106201172, 197.95823097229004, 196.29478454589844, 197.20697402954102, 196.23494148254395, 196.89202308654785, 214.83182907104492, 200.8070945739746, 196.02108001708984, 195.83702087402344, 195.02019882202148, 196.54417037963867, 196.16317749023438, 196.74324989318848, 196.89106941223145, 198.49014282226562, 199.4187831878662, 199.93305206298828, 200.3161907196045, 199.1429328918457, 201.185941696167, 205.16610145568848, 207.02290534973145, 204.31804656982422, 201.23696327209473, 202.24475860595703, 203.71413230895996, 201.1871337890625, 199.98526573181152, 200.2570629119873, 199.16391372680664, 212.04495429992676, 202.69179344177246, 200.4251480102539, 204.38194274902344, 202.87013053894043, 204.2257785797119, 228.48176956176758, 204.8788070678711, 203.08971405029297, 205.21020889282227, 204.8640251159668, 203.49693298339844, 203.98306846618652, 201.4760971069336, 202.81195640563965, 201.74813270568848, 201.92718505859375, 202.05020904541016, 200.85406303405762, 199.2189884185791, 198.0748176574707, 198.16112518310547, 199.62596893310547, 199.71108436584473, 204.36596870422363, 199.69892501831055, 233.4728240966797, 201.42102241516113, 200.3471851348877, 199.25713539123535, 199.5241641998291, 202.06880569458008, 203.57298851013184, 205.4431438446045, 204.78296279907227, 205.14678955078125, 204.8029899597168, 203.68099212646484, 207.5669765472412, 206.3748836517334, 204.9107551574707, 202.78477668762207, 203.68576049804688, 223.1581211090088, 202.24380493164062, 200.72197914123535, 197.8440284729004, 196.77281379699707, 199.49626922607422, 199.04208183288574, 199.16486740112305, 199.13005828857422]",202.260901927948,6.512590721194196,195.02019882202148,233.4728240966797,200.8305788040161,100
parallel,4,denoise,"[200.11401176452637, 199.8441219329834, 203.52602005004883, 200.67501068115234, 199.96023178100586, 201.12204551696777, 198.88734817504883, 198.87304306030273, 200.81520080566406, 201.12991333007812, 203.7649154663086, 207.98587799072266, 202.56686210632324, 202.77690887451172, 232.79690742492676, 202.64482498168945, 208.1010341644287, 212.6600742340088, 201.80296897888184, 200.47998428344727, 201.1728286743164, 207.56983757019043, 220.91412544250488, 201.51329040527344, 204.7140598297119, 210.4811668395996, 200.06799697875977, 199.72705841064453, 201.95484161376953, 201.8749713897705, 200.25014877319336, 209.65981483459473, 203.81617546081543, 207.10301399230957, 249.48406219482422, 203.34315299987793, 203.32098007202148, 201.95722579956055, 200.50501823425293, 199.2487907409668, 199.24211502075195, 198.18997383117676, 198.4407901763916, 200.06918907165527, 215.85798263549805, 206.1018943786621, 210.86502075195312, 200.2089023590088, 199.47504997253418, 199.96094703674316, 239.6862506866455, 199.0039348602295, 198.2409954071045, 197.56007194519043, 219.55013275146484, 200.90389251708984, 199.843168258667, 198.84610176086426, 204.65993881225586, 205.57284355163574, 203.17697525024414, 199.16987419128418, 201.41267776489258, 205.40714263916016, 202.0552158355713, 199.89871978759766, 198.58193397521973, 201.08509063720703, 203.02486419677734, 201.0800838470459, 204.3600082397461, 201.89571380615234, 201.73907279968262, 199.2471218109131, 202.91900634765625, 204.01978492736816, 204.2858600616455, 203.3989429473877, 202.47292518615723, 203.48596572875977, 200.92296600341797, 199.74708557128906, 198.75669479370117, 197.77202606201172, 199.59688186645508, 201.8439769744873, 198.8661289215088, 200.0110149383545, 250.43296813964844, 221.45414352416992, 201.59173011779785, 205.18112182617188, 198.83203506469727, 202.40116119384766, 204.29587364196777, 199.0799903869629, 209.76686477661133, 205.77192306518555, 203.54485511779785, 200.99282264709473]",204.45064306259155,9.231650565299162,197.56007194519043,250.43296813964844,201.82347297668457,100
parallel,8,denoise,"[199.7549533843994, 201.34592056274414, 199.16081428527832, 198.96912574768066, 198.02284240722656, 202.12888717651367, 202.87513732910156, 200.49190521240234, 199.84102249145508, 198.0280876159668, 198.04906845092773, 199.4760036468506, 197.88861274719238, 200.99306106567383, 200.0119686126709, 199.82385635375977, 199.4030475616455, 199.88417625427246, 198.76909255981445, 256.60109519958496, 205.9342861175537, 199.19204711914062, 199.6297836303711, 200.545072555542, 199.9659538269043, 200.78516006469727, 199.38039779663086, 200.7596492767334, 199.86510276794434, 200.1030445098877, 199.2361545562744, 199.39684867858887, 199.65100288391113, 201.21312141418457, 198.7159252166748, 201.05600357055664, 198.64702224731445, 200.6511688232422, 200.20198822021484, 198.67396354675293, 199.9969482421875, 198.32181930541992, 199.39088821411133, 199.22900199890137, 327.9001712799072, 490.2362823486328, 242.70200729370117, 274.97315406799316, 202.49009132385254, 198.06265830993652, 195.77598571777344, 196.59686088562012, 204.59294319152832, 199.11599159240723, 198.78315925598145, 198.51183891296387, 198.8060474395752, 199.3699073791504, 199.1732120513916, 198.37093353271484, 198.6091136932373, 199.0358829498291, 199.15103912353516, 198.9908218383789, 198.1661319732666, 199.537992477417, 200.70719718933105, 201.4162540435791, 199.6328830718994, 198.88591766357422, 219.6979522705078, 206.22992515563965, 199.9831199645996, 199.18107986450195, 200.1819610595703, 198.8358497619629, 198.5790729522705, 199.9821662902832, 198.99702072143555, 198.20904731750488, 199.1267204284668, 198.2560157775879, 198.9290714263916, 234.74788665771484, 199.4338035583496, 198.31109046936035, 197.5541114807129, 199.57566261291504, 199.73015785217285, 199.02586936950684, 202.87466049194336, 203.38201522827148, 205.20281791687012, 206.6018581390381, 199.2189884185791, 204.9100399017334, 203.60398292541504, 230.54981231689453, 290.92979431152344, 210.69598197937012]",207.74193048477173,34.13515936530307,195.77598571777344,490.2362823486328,199.60272312164307,100
parallel,16,denoise,"[202.8951644897461, 207.66305923461914, 198.75621795654297, 361.09185218811035, 207.96990394592285, 201.3568878173828, 196.96927070617676, 197.55196571350098, 195.36399841308594, 201.33399963378906, 201.5366554260254, 199.35989379882812, 197.2498893737793, 197.45206832885742, 196.9461441040039, 197.4349021911621, 197.16715812683105, 196.19417190551758, 196.882963180542, 200.16789436340332, 196.3050365447998, 199.44286346435547, 196.69103622436523, 198.5318660736084, 199.01800155639648, 225.2638339996338, 197.74103164672852, 199.45883750915527, 197.404146194458, 196.32792472839355, 198.91786575317383, 196.74992561340332, 202.92305946350098, 196.9928741455078, 197.19219207763672, 206.99000358581543, 208.79483222961426, 196.7909336090088, 196.7489719390869, 198.55594635009766, 197.8170871734619, 198.10199737548828, 197.79396057128906, 198.0278491973877, 198.06933403015137, 198.1949806213379, 196.14315032958984, 196.68817520141602, 196.05302810668945, 195.95885276794434, 196.7329978942871, 197.56317138671875, 196.62022590637207, 196.43688201904297, 196.4092254638672, 198.17519187927246, 196.55108451843262, 196.40398025512695, 197.1449851989746, 196.51198387145996, 196.5007781982422, 217.53501892089844, 196.02298736572266, 197.0539093017578, 197.66712188720703, 198.6241340637207, 199.2030143737793, 196.23589515686035, 195.70302963256836, 196.34580612182617, 195.05882263183594, 197.1127986907959, 197.77703285217285, 253.07869911193848, 241.19114875793457, 206.80928230285645, 203.98497581481934, 202.8341293334961, 202.58164405822754, 211.20214462280273, 202.92305946350098, 201.72905921936035, 202.65507698059082, 201.48777961730957, 202.06499099731445, 212.56685256958008, 292.9227352142334, 235.8689308166504, 206.22801780700684, 208.55188369750977, 203.04012298583984, 202.79693603515625, 199.83887672424316, 200.9279727935791, 201.77888870239258, 199.0809440612793, 199.33700561523438, 198.10199737548828, 200.46687126159668, 207.15808868408203]",203.8163185119629,20.307580560975268,195.05882263183594,361.09185218811035,198.18508625030518,100
